,unit,station,line,availability,comments
0,EL395,Flushing Av,JM,80.27%,"This elevator was out of service from 3/15/2017 to 4/1/2017 for the replacement of the car rail, valve body, and piston seals. The elevator was tested and returned to service."
1,EL309,Court St,R,80.31%,This elevator was out of service form 12/27/2016 to 1/6/2017 for the replacement of the safety governor. A job specific properly calibrated governor was ordered from the manufacturer and installed; the elevator was tested and returned to service. The elevator was out of service from 2/17/17 to 2/20/17 for problems with car guide shoes. The car guide shoes were adjusted; the elevator was tested and returned to service. This elevator is scheduled for replacement in the 2015-2019 Capital Program.
2,EL443,Lexington Av‐63 St,FQ,63.56%,"This newly installed elevator has ahigh rate of failure. The MTACC has been in contact with the contractorto make warranty repairs. The contractoris scheduledto make these repairs during third week of April to improve the reliability. In addition, this elevator was outofservicefrom1/29/2017to2/15/2017forbrokenbrakehousing.Thecontractor replaced the brake housing under the warranty."
3,EL119,181 St,A,63.91%,"This elevator was out of service from 1/5/17 to 1/6/17, and from 1/17/17 to 1/28/17 due to defective selector. The selector was repaired; the elevator was tested and returned to service. The elevator was out of service from 3/1/17 to 3/12/17 due to defective car safety pawl device. The car safety pawl device was repaired; the elevator was tested and returned to service. This elevator is scheduled for replacement in the 2015-2019 Capital Program."
4,EL120,190 St,A,67.34%,This elevator was out of service from 2/1/17 to 2/14/17 due to worn out brake pads and hoist motor brake drum. These items were repaired by a vendor; the elevator was tested and returned to service. The elevator was out of service from 3/11/17 to 3/13/17 due to selector leveling issues. The leveling issues were corrected; the elevator was tested and returned to service. The elevator had numerous short term outages in the quarter due to failures of the antiquated control system. This elevator is scheduled for replacement in the 2015-2019 Capital Program.
5,EL116,190 St,A,71.53%,This elevator had a defective hoist motor brake unit which caused multiple elevator entrapments in the quarter. The elevator was removed from service from 3/8/17 to 3/18/17 to repair the defective hoist motor brake unit. The brake unit was repaired; the elevator was tested and returned to service. This elevator is scheduled for replacement in the 2015-2019 Capital Program.
6,EL330,Bleecker St,DFBM6,77.25%,This elevator was out of service from 1/1/2017 to 1/12/2017 for defective governor and hoist rope sheave. The governor was repaired and the sheave was replaced; the elevator was tested and returned to service. The elevator was out of service from 1/17/2017 to 1/20/2017 to replace the car guide rollers and shoes. The rollers and shoes were replaced; the elevator was tested and returned to service. The elevator was out of service from 1/30/2017 to 2/2/2017 to replace the hoist ropes. The ropes were replaced; the elevator was tested and returned to service.
7,EL105,191 St,1,82.34%,This elevator was out from 1/17/17 to 1/20/17 due to defective wiring on the drive circuit and defective brake relays. The wiring and the brake relays were repaired; the elevator was tested and returned to service. The elevator was out of service from 1/22/17 to 1/25/17 due to a defective car call circuit board. The board was replaced; the elevator was tested and returned to service. The elevator was out of service from 2/1/17 to 2/3/17 due to a defective selector leveling unit. The selector leveling unit was repaired; the elevator was tested and returned to service. The elevator was out of service from 2/24/17 to 3/1/17 due to a defective door operator board. The door operator board was replaced; the elevator was tested and returned to service. This elevator is scheduled for replacement in the 2015-2019 Capital Program.
8,ES105,Gun Hill Rd,25,69.33%,This escalator was out of service from 1/18/17 to 1/27/17 due to work to replace worn brakes. The brakes were replaced and the step band locking device was also repaired; the escalator was tested and returned to service. The escalator was out of service from 2/22/17 to 3/5/17 due to a leaking gear case. The gear case was removed and sent to a vendor for repairs. The repairs were made and the gear case was installed; the escalator was tested and returned to service.
9,ES120,Pelham Bay Park,6,60.66%,"This escalator was out of service from 2/1/14 to 2/14/17 due to a defective left hand handrail traction wheel and brake cylinders. These items were repaired; the escalator was tested and returned to service. The escalator was out of service from 3/14/17 to 3/27/17 due to a defective control board microprocessor, handrail and step band sensors. The items were repaired; the escalator was tested and returned to service. This escalator is scheduled for replacement in the 2015-2019 Capital Program."
10,ES333,Myrtle‐Wyckoff Avs,LM,72.79%,"This escalator was out of service from 1/17/2017 to 1/25/2017 due to a damaged handrail drive system.  The handrail drive system was repaired and the rollers, drive sheave bands and guides were also replaced."
11,ES346,Brighton Beach,BQ,62.12%,"This escalator was out of service from 1/28/2017 to 2/13/2017 for corroded step chain, various safety switches and handrail rollers due to its proximity to the beach. The step chain was saturated in oil and all links were freed up. The corroded switches and handrail rollers were all replaced. The escalator was tested and returned to service."
12,ES103,125 St,1,66.27%,This escalator has operated at 64.29 % due to a step chain replacement. The escalator was out from 1/12/17 to 2/7/17. The steps and step chain were replaced; the escalator was tested and returned to service
13,ES117,181 St,A,74.75%,This escalator was out of service from 12/23/16 to 1/20/17 due to a defective landing plate and worn tracks. The defective landing plate was sent to a vendor for repairs and various tracks at the lower landing were replaced and adjusted; the escalator was tested and returned to service. This escalator is scheduled for replacement in the 2015-2019 Capital Program.
14,ES118,181 St,A,50.26%,This escalator was out of service from 2/16/17 to 3/28/17 due to refurbishment of the worn head shaft. The head shaft had to be sent to a vendor for repairs. The head shaft was repaired and installed; the escalator was tested and returned to service. The escalator is scheduled for replacement in the 2015-2019 Capital Program.
15,ES202,96 St,Q,29.06%,"This escalator was out of service from 1/19/17 to 3/23/17 due to damage caused byaccidental activation of the fire sprinkler system which flooded the equipment. Thisescalator is maintained by Kone, one of the contractors maintaining E&E equipment onSecond Avenue Subway. After  negotiations between Kone and MTACC, this escalatorwas repaired, tested and returned to service."
16,ES245,Lexington Av‐53 St,EM,77.88%,This escalator was out of service from 1/29/17 to 2/16/17 due to defective step carriagereturned to service.The escalator is scheduled for replacement in the 2015-2019 Capital Program.
17,ES328,Delancey St,F,77.44%,This escalator was out of service form 1/27/17 to 2/2/2017 due to a defective matrixescalator was out of service from 2/17/2017 to 2/19/2017 for a planned repair to replacethe main drive chain on this machine. The escalator also has had multiple shutdowns fora fault that is not registering on the logs and the escalator will start when we turn it on.We continue to troubleshoot this problem including a performing a review of the PLCand related circuitry to correct this ongoing issue
18,ES448,Woodside‐61 St,7,69.58%,This escalator was out of service from 11/20/2016 to 1/19/2017 due to a majorcomplete overhaul. All steps and the step chain were also replaced; the escalator wastested and returned to service.
