,unit,station,line,availability,comments
0,EL204,Grand Central-42 St,4567S,72.36%,"This elevator was out of service on multiple days in April due to planned maintenance repairs. The elevator was out of service from 5/6/19 to 5/8/19 due to the hydraulic jack leaking. The hydraulic jack seals were replaced and the piston was filed; the elevator was tested and returned to service. The elevator was out of service from 5/13/19 to 5/15/19 due to an entrapment investigation. Repairs and adjustments were made to the car and hoistway doors and interlocks, rail guide clamps in the shaftway were secured and the elevator cab was squared and secured; the elevator was tested and returned to service. The elevator is scheduled for replacement in the 2015-2019 Capital Replacement Program; the replacement work is expected to start later this year."
1,EL119,181 St,A,81.16%,This elevator was out of service from 6/3/19 to 6/13/19 due to defective elevator brakes. The elevator brakes were repaired; the elevator was tested and returned to service. he elevator is scheduled for replacement in the 2015-2019 Capital Replacement Program; the replacement work is expected to start later this year.
2,EL224,8 Av,L,83.42%,"This elevator was out of service on multiple occasions due to entrapments. The entrapment that occurred on 4/7/19 was the result of the controller microprocessor board malfunctioning. The microprocessor was replaced and parameters were programmed; the elevator was tested and returned to service. The entrapment that occurred on 5/13/19 was the result of the valve body not operating correctly. The valve body was replaced and adjusted; the elevator was inspected, tested and returned to service. The entrapment that occurred on 5/18/19 was the result of the elevator not making the top landing. Leaks on the oil pipes were repaired and hydraulic fluid was added to the oil reservoir. The damaged interlocks at the upper landing hoistway doors were replaced and adjusted; the elevator was inspected, tested and returned to service. The entrapment that occurred on 5/22/19 was the result of the pump motor belt slipping due to oil. The pump motor belt was cleaned and adjusted; the elevator was inspected, tested and returned to service."
3,ES104,Gun Hill Rd,25,74.40%,"This escalator had multiple outages for lower combstop safety device activations and step-up thrust safetydevice activations. The escalator was out of service from 6/13/19 to 6/18/19 in order to investigate andcorrect repeated outages for the lower combstop. The lower landing tracks, combstop and step indexingwere adjusted; the escalator was tested and returned to service."
4,ES105,Gun Hill Rd,25,79.55%,"This escalator was out of service multiple times for various activations of the escalator safety devices. Theupper and lower emergency stop buttons were activated due to vandalism. The upper comb impact, lowercombstop safety devices were activated. Each time the fault was reset, and the escalator was returned tocombstop safety devices in order to improve escalator reliability and availability."
5,ES106,West Farms Sq-E Tremont Av,25,68.09%,This escalator was out of service multiple times due to vandalism. The emergency stop buttons were beingsafety check and related work was completed; the escalator was tested and returned to service. Theescalator was out of service from 5/25/19 to 5/28/19 due to repairs at the lower landing plate supportto service.
6,ES108,Intervale Av,25,34.94%,"This escalator was out of service from 4/23/19 to 6/14/19 due to a step wreck. Various step chains and steptracks were repaired and adjusted, step bushings were replaced, broken steps were replaced, the stepchain was shortened, combstop and comb impact safety devices were repaired and adjusted; the escalatorwas tested and returned to service."
7,ES112,Norwood-205 St,D,66.57%,"This escalator was out of service from 4/19/19 to 5/17/19 due to a safety check and related work. The combcarrier was sent to a vendor for repairs. The tangential guides were replaced and adjusted, step indexguides were replaced and adjusted, top and bottom combstop and impact safety devices were adjusted; theescalator was tested and returned to service."
8,ES113,161 St-Yankee Stadium,4,73.03%,"This escalator had repeated outages for combstop and comb impact safety activations. The escalator wasout of service from 5/11/19 to 5/13/19 due to defective steps. The steps were replaced; the escalator wastested and returned to service. The escalator was out of service from 6/18/19 to 6/28/19 for repairs due torepeated failures. Defective steps were replaced, comb carriers were adjusted at both landings and adefective pit switch was replaced. The escalator was tested and returned to service."
9,ES114,161 St-Yankee Stadium,4,48.10%,This escalator was out of service from 4/11/19 to 5/17/19 due to a safety check and related repair work.Both comb carriers were removed and sent to the vendor for repairs. The repairs were completed; theescalator was tested and returned to service. There were multiple outages for brake release safetyand combstop safety activations. These faults require further investigating to mitigate the repeated failuresin order to improve reliability and availability of the escalator.
10,ES121,Pelham Bay Park,6,77.01%,"This escalator was out of service from 4/16/19 to 4/23/19 for a safety check and related work. The skirts,combstops and impact switches were adjusted; the escalator was tested and returned to service. Theescalator was out of service from 4/23/19 to 4/25/19 to investigate repeat failures. The lower combstop wastoo sensitive. It was adjusted; the escalator was tested and returned to service. Further work is required tocorrect repeated failures on the right handrail speed monitor safety device in order to improve the escalatorreliability and availability."
11,ES122,Pelham Pkwy,25,74.90%,"This escalator had various multiple outages for phase reversal, combstop safety devices activating andemergency stop button activations due to vandalism. The phase reversal safety device was replaced; theescalator was tested and returned to service. The escalator was out of service from 5/13/19 to 5/17/19 dueto a safety check and related work. The combstop assembly switch, lower landing combstop switch andactuator were replaced; the elevator was tested and returned to service. The escalator requires additionalwork in order to mitigate repeated outages due to combstop and comb impact safety device activations.Once work is completed it is expected to improve the escalator reliability and availability."
12,ES123,Pelham Pkwy,25,68.58%,This escalator was out of service from 4/13/19 to 4/16/19 to investigate and correct repeated activations ofthe combstop and comb impact safety devices. The work was completed; the escalator was tested andreturned to service. The escalator was out of service from 4/16/19 to 5/5/19 for a safety check and relatedand lubricated; the escalator was tested and returned to service. Further work will be required to correct thecombstop safety device action. Once the work is completed it is expected to improve the escalator reliabilityand availability.
13,ES306,Court St,R,83.70%,"This escalator was out of service multiple times due to ""Lower Comb Stop"" fault.  On 6/27/19, it wasdiscovered that the step chain link was hitting the upthrust tracks on both sides causing noise as themachine moved.  To resolve this issue, the carriage was adjusted to get clearance.  On 7/1/19, it wasdiscovered that there was excessive vibration causing the steps to bang into the comb segments at both theupper and lower landings.  This vibration was due to an excessively worn main drive chain, which wasreplaced and properly tensioned on 7/4/19."
14,ES308,DeKalb Av,BQR,81.49%,This escalator was out of service multiple times due to speed deviation/underspeed fault. The smart brakewas replaced on 6/7/19 which corrected the problem; the escalator was tested and returned to service.
15,ES310,Atlantic Av,BQ,80.64%,This escalator was out of service from 5/2/19 to 5/14/19 due to a broken main drive chain arm. Thereplacement part had to be fabricated by a Machine Shop.  The main drive chain arm was replaced; theescalator was tested and returned to service.
16,ES320,Jay St,ACF,84.11%,"This escalator was out of service from 5/6/19 to 5/9/19 to replace the missing step switch and right-sidestopping distance; the escalator was repaired, tested and returned to service."
17,ES321,High St,AC,56.04%,"This escalator was out of service from 3/4/19 to 5/6/19 for escalator rehabilitation.  The top left and bottomright handrail inlet switches were repaired, the truss was cleaned, the step chain was replaced, the maindrive chain was replaced, the brake disc was repaired and replaced, and the lower comb carrier was"
18,ES332,Myrtle-Wyckoff Avs,LM,82.56%,"This escalator was out of service multiple times due to ""Upper Comb Impact"" fault.  On 6/19/19, the top lefthorizontal springs were found to be completely loose and the top left side skirt was preventing the top combcarrier from returning to its normal position.  The horizontal and vertical springs were adjusted and the skirtwas adjusted, allowing for normal operation of the comb carrier; the escalator was tested and returned to"
